PLATE,CH_CODE,ENDO_DATE,CLIENT,CAR_MODEL,PLATE_NUMBER_NORMALIZED
MR6447,01RBA2408-25,8/22/24,ROB AUTO,2017 HYUNDAI Elantra 1.6 GL MT,MR6447
T0C664,01RBA2408-26,8/22/24,ROB AUTO,2020 GEELY COOLRAY SPORT 1.5L,T0C664
E0W688,01RBA2408-28,8/22/24,ROB AUTO,2019 HONDA City 1.5 VX NAVI CVT,E0W688
F3J172,01RBA2408-29,8/22/24,ROB AUTO,2020 NISSAN NAVARA 4x4 VL AT,F3J172
Y3-E838,01RBA2408-31,8/22/24,ROB AUTO,2023 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),Y3E838
E0Y193,01RBA2408-32,8/22/24,ROB AUTO,2017 HONDA Mobillo 1.5 E MT,E0Y193
B3-C210,01RBA2408-34,8/22/24,ROB AUTO,2018 MITSUBISHI Montero Sport GLX 2WD M/T,B3C210
B6V160,01RBA2408-36,8/22/24,ROB AUTO,2020 MITSUBISHI MONTERO SPORT GLS 2.4D 2WD A/T,B6V160
B3D662,01RBA2408-37,8/22/24,ROB AUTO,2018 MITSUBISHI Montero Sport GLS 2.4D 2WD A/T,B3D662
K0 C560,01RBA2408-38,8/22/24,ROB AUTO,2018 HYUNDAI Grand Starex 2.5 CRDI GLS 5 AT (DSL SWIVEL),K0C560
P1I893,01RBA2408-39,8/22/24,ROB AUTO,2019 TOYOTA Hi Ace GL GRANDIA 2.8L DSL MT 2T,P1I893
B4P554,01RBA2408-40,8/22/24,ROB AUTO,2018 MITSUBISHI Strada GLX 2.5D 2WD MT,B4P554
B7B682,01RBA2408-41,8/22/24,ROB AUTO,2020 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B7B682
B0V712,01RBA2408-42,8/22/24,ROB AUTO,2017 MITSUBISHI Adventure GLS SPT 2.5D MT,B0V712
NN3337,01RBA2408-43,8/22/24,ROB AUTO,MITSUBISHI ADV GX MT 2016,NN3337
B3X865,01RBA2408-44,8/22/24,ROB AUTO,2018 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B3X865
MV3163,01RBA2408-46,8/22/24,ROB AUTO,2018 HYUNDAI Grand Starex 2.5 CRDI GLS DSL SWIVEL AT,MV3163
Y0-C220,01RBA2408-48,8/22/24,ROB AUTO,MITSUBISHI STRADA ATHLETE 2.4D 4X2 AT,Y0C220
C3E775,01RBA2408-49,8/22/24,ROB AUTO,2021 FORD TERRITORY 1.5L ECOBOOST TREND CVT,C3E775
B4N822,01RBA2408-51,8/22/24,ROB AUTO,2018 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),B4N822
Y1I422,01RBA2408-52,8/22/24,ROB AUTO,2023 MITSUBISHI MIRAGE G4 G4 1.2G GLX CVT (A/T),Y1I422
MV2294,01RBA2408-53,8/22/24,ROB AUTO,2018 HYUNDAI Elantra 1.6 GL MT,MV2294
NJ6361,01RBA2408-55,8/22/24,ROB AUTO,MITSUBISHI MIRAGE G4 GLX 1.2G MT 2015,NJ6361
B9S782,01RBA2408-56,8/22/24,ROB AUTO,2022 MITSUBISHI MIRAGE G4 G4 1.2G GLX MT,B9S782
B2J638,01RBA2408-57,8/22/24,ROB AUTO,2017 MITSUBISHI Mirage G4 G4 1.2L GLS CVT (A/T),B2J638
A8Q147,01RBA2408-59,8/22/24,ROB AUTO,2019 TOYOTA Vios 1.3 E AT,A8Q147
B8D437,01RBA2409-1,9/25/24,ROB AUTO,2020 MITSUBISHI L300 C/C 2.2D MT-20MY FB BODY,B8D437
B4R126,01RBA2409-2,9/25/24,ROB AUTO,2019 MITSUBISHI MONTERO SPORT GLS 2.4D 2WD A/T,B4R126
B8-J281,01RBA2409-3,9/25/24,ROB AUTO,2021 MITSUBISHI L300 Exceed w/ FB Body & Dual AC,B8J281
C3 G845,01RBA2409-4,9/25/24,ROB AUTO,2021 FORD RAPTOR 2.0 4X4 A/T,C3G845
